a52dec 0.7.4-10
gnome-user-share 3.34.0-1
gnome-video-effects 0.5.0+4+g9554041-1
gnupg 2.2.19-1
gnutls 3.6.11.1-1
gobject-introspection 1.62.0-3
gobject-introspection-runtime 1.62.0-3
gom 0.3.3-4
gperftools 2.7-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.4-1
graphene 1.10.0-1
graphite 1:1.3.13-2
graphviz 2.42.3-1
grep 3.3-3
grilo 0.3.10-1
grilo-plugins 0.3.10-1
groff 1.22.4-2
grub 2:2.04-3
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsm 1.0.18-1
gsound 1.0.2-4
gspell 1.8.2-1
gssdp 1.2.1-1
gst-plugins-bad 1.16.2-1
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-plugins-good 1.16.2-1
gstreamer 1.16.2-1
gtk-doc 1.32-2
gtk-update-icon-cache 1:3.24.13-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-1
gtk3 1:3.24.13-1
gtkmm3 3.24.2-1
gtksourceview3 3.24.11-1
gtksourceview4 4.4.0-1
gts 0.7.6.121130-1
gufw 19.10.0-2
guile 2.2.6-1
guile1.8 1.8.8-7
gupnp 1.2.1-1
gupnp-av 0.12.11+2+gb5ca07c-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.42.2-1
gvfs-afc 1.42.2-1
gvfs-goa 1.42.2-1
gvfs-google 1.42.2-1
gvfs-gphoto2 1.42.2-1
gvfs-mtp 1.42.2-1
gvfs-nfs 1.42.2-1
gvfs-smb 1.42.2-1
gzip 1.10-3
harfbuzz 2.6.4-2
harfbuzz-icu 2.6.4-2
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-2
hunspell 1.7.0-2
hunspell-en_US 2018.04.16-6
hwids 20191025-2
hyphen 2.8.8-2
iana-etc 20191212-1
icu 65.1-2
ijs 0.35-2
imagemagick 7.0.9.8-1
imlib2 1.6.0-1
inetutils 1.9.4-8
iniparser 4.1-1
intel-tbb 2019.9-2
intel-ucode 20191115-3
iotop 0.6-7
iproute2 5.4.0-1
iptables 1:1.8.3-3
iputils 20190709-2
iso-codes 4.4-1
itstool 1:2.0.6-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-2
java-runtime-common 3-2
jbig2dec 0.17-1
jdk-openjdk 13.0.1.u9-1
jemalloc 1:5.2.1-1
jfsutils 1.1.15-7
jre-openjdk 13.0.1.u9-1
jre-openjdk-headless 13.0.1.u9-1
js60 60.9.0-1
json-c 0.13.1-3
json-glib 1.4.4-1
kbd 2.2.0-5
keyutils 1.6.1-3
kmod 26-3
krb5 1.17-2
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.9.0-2
lcms2 2.9-2
ldb 1:1.5.6-2
ldns 1.7.1-2
lensfun 0.3.2-9
less 551-3
leveldb 1.22-1
libabw 0.1.3-1
libaio 0.3.112-2
libao 1.2.2-2
libarchive 3.4.0-3
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.23-3
libbluray 1.1.2-1
libbs2b 3.1.0-6
libbsd 0.10.0-1
libbytesize 2.1-3
libcaca 0.99.beta19-2
libcacard 2.7.0-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.28-1
libcap-ng 0.7.10-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.1-1
libcdr 0.1.5-3
libchamplain 0.12.20-1
libcmis 0.5.2-3
libcroco 0.6.13-1
libcue 2.2.1-1
libcups 2.3.0-4
libdaemon 0.14-4
